"TreeId","Address","Location","Species","Height","Trunk Diameter","Defects","Comments","Age Range","Vitality","Soil Type","Tree Image"
"a1","dfddff","fdffd","fddf","8","ddfdf","fddfdf","fdfddffdfd djdffdjfdjdf dfjdfjgjdgj jfdfddj","31 years to 50 years","Healthy","Sandy",""
"11","Raiya Road,Rajkot","Rajkot","sdas","4","q","e","Remove deadwood 100mm and larger.","0 to 10 years","Healthy","Silty","5131treesImage.jpg,5351treesImage.jpg,4799treesImage.jpg,1857treesImage.jpg"
"1111","Raiya Road,Rajkot","sd","Pinus radiata","4","4","e","e","0 to 10 years","Healthy","Peaty","6954treesImage.jpg"
"1111z111","Raiya Road,Rajkot","Rajkot","Pinus radiata","70","q","q","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Sandy","534treesImage.jpg"
"1111z11","Raiya Road,Rajkot","Rajkot","Pinus radiata","70","q","q","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Sandy","2513treesImage.jpg"
"1111z1","Raiya Road,Rajkot","Rajkot","Pinus radiata","70","q","q","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Sandy","1225treesImage.jpg"
"1111aa","Navrangpura swstic 4 rasta,Ahemdabad","Rajkot","4","50","4","e","f","31 years to 50 years","Unsafe","Silty","1022treesImage.jpg,3446treesImage.jpg"
"1111a","Navrangpura swstic 4 rasta,Ahemdabad","Rajkot","4","50","4","e","f","31 years to 50 years","Unsafe","Silty","5808treesImage.jpg,1523treesImage.jpg,7146treesImage.jpg"
"qq","ghhghg","hggh","hggh","5","5","ggh","hg","31 years to 50 years","Healthy","Chalky",""
"684456","gfgfd","ghghghg","ggg","1","1","gfgfgff","gffg","Above 100 years","Healthy","Sandy","7855treesImage.jpg,0treesImage.jpg,8026treesImage.jpg"
"nnx","Raiya Road,Rajkot","4","Pinus radiata","15","525 mm","e","4","81 years to 100 years","Unsafe","Sandy",""
"nn","Raiya Road,Rajkot","4","Pinus radiata","15","525 mm","e","4","81 years to 100 years","Unsafe","Sandy",""
"DC005bbb111","Raiya Road,Rajkot","4","Pinus radiata","15","525 mm","e","4","81 years to 100 years","Unsafe","Sandy","6785treesImage.jpg,3483treesImage.jpg,688treesImage.jpg"
"DC005bbb","Raiya Road,Rajkot","4","Pinus radiata","15","525 mm","e","4","81 years to 100 years","Unsafe","Sandy",""
"DC004","Raiya Road,Rajkot","Rajkot","sdas","15","525 mm","e","4","81 years to 100 years","Weak","Chalky","2488treesImage.jpg,5736treesImage.jpg"
"1aann","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525 mm","q","Remove deadwood 100mm and larger.","51 years to 80 years","Weak","Clay",""
"1aa","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525 mm","q","Remove deadwood 100mm and larger.","51 years to 80 years","Weak","Clay",""
"DC001zz","Raiya Road","aa","q","4","525 mm","e","f","51 years to 80 years","Weak","Sandy","8674treesImage.jpg"
"zz","SG Ring Road","Rajkot","f","15","525","f","e","11 to 30 years","Weak","Sandy","9431treesImage.jpg"
"11xx","Navrangpura swstic 4 rasta,Ahemdabad","aaa","sdas","15","525 mm","e","f","81 years to 100 years","Death","Peaty","7927treesImage.jpg"
"DCkkk","Raiya Road,Rajkot","sd","Pinus radiata","15","4","e","q","11 to 30 years","Healthy","Sandy","7670treesImage.jpg"
"1112222","sdkdmcka","Rajkot","4","0","525","e","Remove deadwood 100mm and larger.","11 to 30 years","Weak","Peaty","3252treesImage.jpg"
"dfhd","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","e","q","Remove deadwood 100mm and larger.","11 to 30 years","Unsafe","Sandy","7955treesImage.jpg,550treesImage.jpg"
"ewewewew","fdddf","fddfdf","fdfddf","0","fddfdf","fdfd","fddfdf","0 to 10 years","Healthy","Clay","2379treesImage.png"
"lklkzz","Singapore","Singapore Botanic Gardens","Abies alba","10","2","No","Need to water","31 years to 50 years","Healthy","Sandy","1014treesImage.jpg"
"bnbv","Green Heart  Garden","Marina One Green Heart  Garden","Beech","8","3","No","Remove deadwood 100mm and larger.","11 to 30 years","Weak","Peaty","3562treesImage.jpg"
"lklk","SG Ring Road","Bali Gates of Heaven","Pedunculate Oak","15","50 cm","No","4","11 to 30 years","Vitality","Sandy","2892treesImage.jpg"
"mmm","Macritchie Reservoir","Macritchie Reservoir","American basswood -- Tilia americana","15","6","No","Remove deadwood 100mm and larger.","0 to 10 years","Healthy","Sandy","9454treesImage.jpg"
"dmdm","Navrangpura swstic 4 rasta,Ahemdabad","Rajkot","Pinus radiata","15","525 mm","q","Remove deadwood 100mm and larger.","81 years to 100 years","Unsafe","Clay",""
"DC001mm","SDJskdjl","Rajkot","Pinus radiata","0","q","e","4","81 years to 100 years","Death","Clay","2441treesImage.jpg"
"sdsd","SDJskdjl","aaa","f","0","f","e","Remove deadwood 100mm and larger.","51 years to 80 years","Weak","Sandy","4690treesImage.jpg"
"198","add","loc","spec","10","30","defects","hhchvcvj","Age Range","Healthy","Soil Type","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"DC1ccxm","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky","2385treesImage.jpg,9226treesImage.jpg,9995treesImage.jpg,7287treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg,90311treesImage.jpg"
"llm","h","h","h","0","h","h","h","11 to 30 years","Death","Sandy","2498treesImage.jpg,1treesImage.jpg,69590treesImage.jpg,4682treesImage.jpg,8854treesImage.jpg"
"ll","h","h","h","0","h","h","h","0 to 10 years","Weak","Clay","1treesImage.jpg,2498treesImage.jpg,8854treesImage.jpg,4682treesImage.jpg"
"DC0001er","rajkotm","raiya road","Pinus radiata","5","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","31 years to 50 years","Weak","Silty","2treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg,3treesImage.jpg,2treesImage.jpg,3treesImage.jpg,2treesImage.jpg,3treesImage.jpg,4treesImage.jpg,5treesImage.jpg,4treesImage.jpg,5treesImage.jpg,4treesImage.jpg,5treesImage.jpg,6treesImage.jpg,7treesImage.jpg,8treesImage.jpg"
"DC000189","rajkot","raiya road","Pinus radiata","15","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","0 to 10 years","Healthy","Clay","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"Dc00020","rajkot","Gujrat","Pinus","15","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Weak","Silty","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"Dc00038","rajkot","Gujrat","Pinus","10","525 mm","Dead limbs","Remove deadwood","11 years to 30 years","Weak","Sandy","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"DC00040","rajkot","raiya road","Pinus radiata","15","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Death","Chalky","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"Dc00058","rajkot","Gujrat","Pinus","15","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Healthy","Chalky","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"DC00067","rajkot","raiya road","Pinus radiata","15","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Healthy","Loamy","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"DC00012","rajkot","raiya road","Pinus radiata","15","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","0 to 10 years","Healthy","Clay","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"Dc00023","rajkot","Gujrat","Pinus","15","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Weak","Silty","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"Dc00032","rajkot","Gujrat","Pinus","15","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Weak","Sandy","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"88","50 Playfair Road #05-03 Noel Building Singapore 367995","loc","a","13","55","ggh","lah","0 to 10 years","Healthy","Silty","7287treesImage.jpg,9995treesImage.jpg,9226treesImage.jpg,2385treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg"
"DC1ccx","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky","7287treesImage.jpg,9995treesImage.jpg,9226treesImage.jpg,2385treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg,5821treesImage.jpg,1311treesImage.jpg,8890treesImage.jpg,9650treesImage.jpg"
"D00556","rajkot","raiya road","Pinus radiata","15","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Weak","Clay","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"DC000556","rajkot","raiya road","Pinus radiata","50.1","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Death","Sandy","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"Dc0003g","rajkot","Gujrat","Pinus","50.06","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Weak","Peaty",""
"DC0d006","rajkot","raiya road","Pinus radiata","15","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Healthy","Loamy","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"DC0000","rajkot","raiya road","Pinus radiata","15","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","Above 100 years","Unsafe","Loamy","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"DC0006","rajkot","raiya road","Pinus radiata","15","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Healthy","Loamy","9335treesImage.jpg,1688treesImage.jpg,3986treesImage.jpg,6411treesImage.jpg"
"Dc0005","rajkot","Karachi","Pinus/ Testing","15","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Healthy","Peaty","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"DC0004","rajkot","raiya road","Pinus radiata","15","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Death","Chalky","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"Dc0003","rajkot","Gujrat","Pinus","15","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Weak","Peaty","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"Dc0002","rajkot","Gujrat","Pinus","1","525 mm","Dead limbs","Remove deadwood","0 to 10 years","Weak","Clay","3204treesImage.jpg,6558treesImage.jpg"
"DC0001","rajkot","raiya road","Pinus radiata","25","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","0 to 10 years","Healthy","Clay","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
