"TreeId","Address","Location","Species","Height (meter)","Width (meter)","Date Planted","Comments","Age Range","Vitality","Soil Type","Tree Image"
"DC000556","rajkot","raiya road","Pinus radiata","50.1","525","0000-00-00","Remove deadwood 100mm and larger","51 years to 80 years","Death","Sandy",""
"Dc0003g","rajkot","Gujrat","Pinus","50.06","525","0000-00-00","Remove deadwood","0 to 10 years","Weak","Peaty",""
"DC0d006","rajkot","raiya road","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger","0 to 10 years","Healthy","Loamy",""
"DC0000","rajkot","raiya road","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger","Above 100 years","Unsafe","Loamy",""
"DC0006","rajkot","raiya road","Pinus radiata","15","525","0000-00-00","Remove deadwood 100mm and larger","51 years to 80 years","Healthy","Loamy",""
"Dc0005","rajkot","Karachi","Pinus/ Testing","15","525","0000-00-00","Remove deadwood","31 years to 50 years","Healthy","Peaty",""
"DC0004","Rajkot","RaiyaRoad","Pinus radiata","27","526","0000-00-00","Remove deadwood 100mm and larger","0 to 10 years","Weak","Clay",""
"Dc0003","rajkot","Gujrat","Pinus - Species","15.2","500","0000-00-00","update species, soil type, delete image","11 to 30 years","Weak","Sandy",""
"Dc0002","Rajkotjj","RaiyaRoad","Pinus radiata","27","526","0000-00-00","Remove deadwood 100mm and larger","31 years to 50 years","Weak","Clay",""
"DC0001","rajkot","raiya road","Pinus radiata","38","525","0000-00-00","Remove deadwood 100mm and larger","11 to 30 years","Healthy","Clay",""
