"TreeId","Address","Location","Species","Height","Trunk Diameter","Defects","Comments","Age Range","Vitality","Soil Type","Tree Image"
"Dc00020","rajkot","Gujrat","Pinus","15 m","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Weak","Silty","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"Dc00038","rajkot","Gujrat","Pinus","10 m","525 mm","Dead limbs","Remove deadwood","11 years to 30 years","Weak","Sandy","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"DC00040","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Death","Chalky","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"Dc00058","rajkot","Gujrat","Pinus","15 m","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Healthy","Chalky","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"DC00067","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Healthy","Loamy","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"DC00012","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","0 to 10 years","Healthy","Clay","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"Dc00023","rajkot","Gujrat","Pinus","15 m","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Weak","Silty","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"Dc00032","rajkot","Gujrat","Pinus","15 m","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Weak","Sandy","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"88","50 Playfair Road #05-03 Noel Building Singapore 367995","loc","a","13","55","ggh","lah","0 to 10 years","Healthy","Silty","7287treesImage.jpg,9995treesImage.jpg,9226treesImage.jpg,2385treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg"
"DC1ccx","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky","7287treesImage.jpg,9995treesImage.jpg,9226treesImage.jpg,2385treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg,5821treesImage.jpg,1311treesImage.jpg,8890treesImage.jpg,9650treesImage.jpg"
"D00556","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Weak","Clay","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"DC000556","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Death","Sandy","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"Dc0003g","rajkot","Gujrat","Pinus","15 m","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Weak","Peaty",""
"DC0d006","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Healthy","Loamy","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"DC0000","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","Above 100 years","Unsafe","Loamy","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"DC0006","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Healthy","Loamy","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"Dc0005","rajkot","Gujrat","Pinus","15 m","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Healthy","Peaty","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"DC0004","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Death","Chalky","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"Dc0003","rajkot","Gujrat","Pinus","15 m","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Weak","Peaty","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"Dc0002","rajkot","Gujrat","Pinus","15 m","525 mm","Dead limbs","Remove deadwood","0 to 10 years","Weak","Clay","3204treesImage.jpg,6558treesImage.jpg"
"DC0001","rajkot","raiya road","Pinus radiata","25 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","0 to 10 years","Healthy","Clay","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
